conversation_id,chunk_id,utterance_id,speaker,social_orientation
103354968.15189.15189,0,1,Daizus,Warm-Agreeable
103354968.15189.15189,0,2,Vintila Barbu,Warm-Agreeable
103354968.15189.15189,1,3,Daizus,Unassuming-Ingenuous
103354968.15189.15189,2,4,Vintila Barbu,Warm-Agreeable
103354968.15189.15189,2,5,Daizus,Warm-Agreeable
103354968.15189.15189,2,6,John K,Warm-Agreeable
103354968.15189.15189,3,7,Daizus,Warm-Agreeable
103354968.15189.15189,4,8,John K,Warm-Agreeable
106917469.75842.75842,0,1,Maurice27,Assured-Dominant
106917469.75842.75842,0,2,Martorell,Unassuming-Ingenuous
106917469.75842.75842,1,3,Martorell,Not Available
106917469.75842.75842,1,4,Martorell,Warm-Agreeable
106917469.75842.75842,1,5,Martorell,Warm-Agreeable
106917469.75842.75842,1,6,Maurice27,Cold
106929028.0.0,0,1,Mudaliar,Warm-Agreeable
106929028.0.0,0,2,Mudaliar,Warm-Agreeable
106929028.0.0,0,3,Mel Etitis,Unassuming-Ingenuous
106929028.0.0,1,4,Mel Etitis,Unassuming-Ingenuous
106929028.0.0,1,5,ExtraDry,Warm-Agreeable
107174613.31450.31450,0,1,NYScholar,Warm-Agreeable
107174613.31450.31450,0,2,Annoynmous,Unassured-Submissive
107174613.31450.31450,0,3,Tewfik,Unassuming-Ingenuous
107174613.31450.31450,0,4,Annoynmous,Unassured-Submissive
107174613.31450.31450,0,5,Former user 2,Unassuming-Ingenuous
107174613.31450.31450,1,6,Annoynmous,Arrogant-Calculating
107174613.31450.31450,1,7,Former user 2,Warm-Agreeable
107174613.31450.31450,1,8,Annoynmous,Cold
107174613.31450.31450,1,9,Former user 2,Assured-Dominant
10749910.44464.44464,0,1,Skyring,Warm-Agreeable
10749910.44464.44464,0,2,Adam Carr,Assured-Dominant
10749910.44464.44464,0,3,Skyring,Unassuming-Ingenuous
10749910.44464.44464,0,4,Robert Merkel,Cold
10749910.44464.44464,0,5,Skyring,Unassured-Submissive
10749910.44464.44464,0,6,Adam Carr,Assured-Dominant
10749910.44464.44464,1,7,Skyring,Unassured-Submissive
10749910.44464.44464,1,8,Adam Carr,Cold
109626944.13153.13153,0,1,MamaGeek,Warm-Agreeable
109626944.13153.13153,0,2,17Drew,Unassuming-Ingenuous
109626944.13153.13153,0,3,Kaldari,Unassuming-Ingenuous
109626944.13153.13153,0,4,216.201.33.10,Arrogant-Calculating
109626944.13153.13153,1,5,216.201.33.10,Unassured-Submissive
109626944.13153.13153,1,6,216.201.33.10,Cold
11226438.3851.3789,0,1,Random account 47,Assured-Dominant
11226438.3851.3789,0,2,PBS,Unassuming-Ingenuous
11226438.3851.3789,0,3,Random account 47,Warm-Agreeable
11226438.3851.3789,0,4,Random account 47,Warm-Agreeable
11226438.3851.3789,0,5,PBS,Unassuming-Ingenuous
11226438.3851.3789,1,6,Random account 47,Arrogant-Calculating
112610040.70740.70740,0,1,Hajji Piruz,Warm-Agreeable
112610040.70740.70740,0,2,Nepaheshgar,Unassuming-Ingenuous
112610040.70740.70740,0,3,Asabbagh,Warm-Agreeable
112610040.70740.70740,0,4,Nepaheshgar,Unassuming-Ingenuous
112610040.70740.70740,0,5,Asabbagh,Unassured-Submissive
112610040.70740.70740,0,6,Nepaheshgar,Warm-Agreeable
112610040.70740.70740,0,7,Asabbagh,Unassured-Submissive
