conversation_id,chunk_id,utterance_id,speaker,social_orientation
100009118.8296.8296,0,1,Hipocrite,Warm-Agreeable
100009118.8296.8296,0,2,Hiding,Unassured-Submissive
100009118.8296.8296,0,3,Hipocrite,Warm-Agreeable
100082597.1198.1198,0,1,Wompa99,Warm-Agreeable
100082597.1198.1198,0,2,66.99.2.114,Unassured-Submissive
100082597.1198.1198,0,3,MKil,Unassuming-Ingenuous
100082597.1198.1198,0,4,66.99.2.114,Unassured-Submissive
10032603.75098.75098,0,1,Vacuum,Warm-Agreeable
10032603.75098.75098,0,2,Rhobite,Warm-Agreeable
10032603.75098.75098,0,3,Mark,Warm-Agreeable
10032603.75098.75098,0,4,Limeheadnyc,Unassuming-Ingenuous
10032603.75098.75098,0,5,Anonymous3190,Warm-Agreeable
101136686.28507.28507,0,1,Dr. R.K.Z,Gregarious-Extraverted
101136686.28507.28507,0,2,Bdve,Unassuming-Ingenuous
101136686.28507.28507,0,3,71.251.193.145,Cold
101136686.28507.28507,0,4,Odin's Beard,Warm-Agreeable
101136686.28507.28507,0,5,Dr. R.K.Z,Unassured-Submissive
101136686.28507.28507,0,6,Bdve,Unassuming-Ingenuous
101186156.157804.157804,0,1,81.178.66.105,Arrogant-Calculating
101186156.157804.157804,0,2,UBeR,Warm-Agreeable
101186156.157804.157804,0,3,Wahkeenah,Cold
101186156.157804.157804,0,4,24.6.105.44,Unassuming-Ingenuous
101186156.157804.157804,0,5,81.179.183.174,Unassured-Submissive
101186156.157804.157804,0,6,UBeR,Warm-Agreeable
101186156.157804.157804,0,7,FireWeed,Warm-Agreeable
101186156.157804.157804,0,8,Sfacets,Warm-Agreeable
101186156.157804.157804,0,9,UBeR,Unassuming-Ingenuous
101186156.157804.157804,0,10,Sfacets,Warm-Agreeable
101186156.157804.157804,0,11,UBeR,Warm-Agreeable
101210061.22031.22031,0,1,Inge,Unassured-Submissive
101210061.22031.22031,0,2,Wangi,Warm-Agreeable
101210061.22031.22031,0,3,Wangi,Unassuming-Ingenuous
